id,betweenness,closeness,follow,posts,interval,length,movie_posts,reposts,coapper_posts,boxoffice,fans,verifyName
1760126153,51050,0.3664,143,376,236328,54,133,14,0,0,53,田中千绘
1229279142,27882,0.3883,556,1268,108142,37,294,55,0,0,53,杨磊
1280445061,18975,0.3765,203,179,635831,24,38,6,0,0,53,郭铁城
1770028871,23534,0.363,507,3980,36679,66,1113,1182,0,0,53,绰琦
1296464373,28803,0.3831,288,900,100902,46,208,45,2153,441,53,穆立新
1511862681,35302,0.4105,1207,234,642217,37,84,1,0,0,53,符涛
1905241192,32015,0.386,377,559,233635,34,189,17,0,0,53,诸葛橙橙
1837490440,18406,0.3271,66,321,441801,27,40,12,0,0,53,李李仁
1860391305,19925,0.3347,162,634,164212,35,85,44,148,2130,53,周崇庆
1800413030,24047,0.3695,123,310,461771,31,52,9,0,0,53,谭俊彦
1497324475,24353,0.3845,420,883,158777,32,132,11,476,0,53,李佑伟
1730785782,21179,0.3322,173,564,235036,45,80,62,192,4862,53,廖语晴
1391149662,20590,0.3856,231,913,132292,31,253,44,0,0,53,姜星宇
1860563805,17969,0.3404,114,185,726276,62,43,1,0,0,53,罗云熙
1891862444,20300,0.3735,175,255,309947,50,64,36,2,0,53,王长林
1772125332,24649,0.3655,342,589,243702,56,233,44,0,0,53,李智毅
1289668013,23987,0.3726,152,20,7402155,21,7,0,0,0,53,周传兮
1862912081,21276,0.38,271,449,277842,40,176,26,2,0,53,胡珊珊
1494168675,17401,0.3666,264,413,304022,62,175,52,124,1112,53,赵焌妍
1659599373,23966,0.3918,720,2010,83685,48,410,99,0,0,53,王楠
1779962811,21412,0.3726,310,1830,79931,58,337,44,0,0,54,任祉妍
1609552472,21595,0.3824,297,885,159145,70,415,118,0,0,54,张莉莎
1726788474,26795,0.3737,461,1157,119747,63,334,33,0,0,54,汪小茜
1629973243,19287,0.367,326,221,588252,45,65,7,0,0,54,杨成
2721513350,47739,0.3689,584,245,376409,53,55,5,1717,4,54,彭家丽
1827484223,35991,0.3755,599,2369,58673,43,864,134,0,0,54,吴亚衡
1311980574,23988,0.3622,150,1032,146670,44,303,38,0,0,54,郭金
2107748457,17636,0.3407,449,221,546704,23,35,13,0,0,54,小飞龙
1941039543,26722,0.3789,349,2044,59726,35,621,58,0,0,54,吴迪
1578222844,23160,0.3628,168,123,1242614,35,28,2,0,0,54,石林
1348551173,23544,0.3787,272,1317,108662,55,293,18,0,0,54,吴乙彤
1905442045,35903,0.3826,241,229,483690,40,72,9,0,0,54,罗莹
1501586197,19641,0.389,166,430,296683,30,117,28,0,0,54,娄彦儒
1885294151,24258,0.3742,169,754,177979,28,230,19,0,0,54,贺云馨
1598570193,27849,0.4075,396,1899,66037,46,472,523,2307,9,54,成国栋
1878765915,25164,0.3829,295,993,135703,48,348,23,0,0,54,栾评
1791963700,26535,0.3845,855,3277,42191,52,944,18,0,6126,54,叶梓棠
1224258661,21897,0.3928,357,3456,50294,56,1253,644,0,0,54,徐光
1785506404,18996,0.3301,228,3065,47525,55,387,17,0,0,54,刘伊心
1149793162,23334,0.3982,393,809,177796,39,280,47,60,6600,54,王俪桥
1797539504,21592,0.3267,239,1661,87197,43,218,38,0,0,54,曾沛慈
1299541421,19990,0.3781,246,774,187869,41,292,55,0,0,54,潘丽
1863206087,19513,0.3278,151,791,170733,45,83,6,0,0,54,林埈永
1763817750,22522,0.3596,240,407,347168,58,165,4,0,0,54,邹杨
1272491907,21134,0.3786,190,1382,103574,52,309,70,0,0,54,杨丽晓
1254192443,16945,0.3385,66,496,306382,38,153,3,0,0,54,李玲玉
1874296797,21802,0.355,382,699,188751,49,186,34,0,0,54,甘萍
1285280125,27683,0.3832,249,362,420914,42,85,30,0,0,54,董波
1813868503,27541,0.3979,385,362,382919,30,91,5,0,0,54,王伟光
2093296460,32299,0.4109,520,161,459105,61,38,4,0,0,54,姚锡明
1989785591,21604,0.356,341,655,192982,32,138,64,0,0,54,姜海军
1930258915,28122,0.3738,295,190,584791,37,51,13,0,0,54,王泷正
1620241042,17765,0.3655,141,910,113520,60,582,63,0,0,54,赵倩
2013794587,25003,0.3851,176,536,167942,43,139,89,0,0,54,施羽
1766795374,19863,0.3439,163,624,237978,35,52,7,0,0,54,张凤书
1267070255,19986,0.3767,209,654,255212,45,217,30,0,0,54,呼延晓辉
1562125187,16856,0.3257,14,24,2141670,54,7,0,0,0,54,丁志诚
1688351602,19280,0.3625,185,39,1992126,40,20,0,0,0,54,王奕瑾
1281862870,27919,0.3656,246,287,425641,53,59,2,0,0,54,騒先森
1587229275,20557,0.3876,468,212,548401,44,52,4,0,0,54,陈景磊
2319224844,35408,0.3805,443,2693,38474,42,818,191,0,0,54,廖希
1374034573,19162,0.3783,241,1134,110852,49,401,168,0,0,54,顾艳
1266788915,17423,0.3613,138,227,157968,60,93,3,0,0,54,赵文琪
1902697435,26597,0.3719,255,1160,77198,43,421,83,0,0,54,罗筐
1641522541,29983,0.3878,364,844,170544,57,359,17,0,0,54,陈慧敏
2257210707,37068,0.3833,296,416,275808,55,168,3,0,0,54,范琳琳
1243568863,23049,0.3781,221,673,200233,43,171,23,0,0,54,张靖宜
2073701405,36940,0.3847,317,286,303812,83,95,18,0,0,54,赵杨
1288051702,21788,0.3688,369,591,156811,52,207,11,0,0,54,徐昊原
1276990071,19094,0.3697,139,600,243337,35,168,50,0,0,54,纳伊莎
1759536861,25815,0.3614,1861,1275,114486,44,446,20,0,0,54,白若溪
1300520864,20616,0.3992,314,345,479328,44,127,8,0,0,54,戴江
1947770695,27446,0.3548,476,652,198359,48,152,0,0,0,54,丁乐锶
1686066602,20688,0.3798,290,210,693291,41,63,11,0,0,54,徐玮璐
2277982657,31872,0.3837,256,378,288747,55,155,34,0,0,54,雷昊东
1764269353,21227,0.3749,345,1779,78311,47,457,33,0,0,54,胡子玫
1993416307,33700,0.4076,776,1952,66090,51,891,66,0,0,54,樊蕊
1420721487,18161,0.3574,470,1386,99306,50,401,120,0,0,54,刘晓邑
1874594817,39436,0.3835,500,920,80883,30,224,5,0,0,54,迟筱暄
1250703755,21530,0.4012,188,125,920259,37,27,6,0,0,54,曹楠
1259932923,21344,0.3732,153,164,540762,26,52,5,0,0,54,罗忆楠
1915603537,17009,0.3387,133,76,738420,38,13,9,0,0,54,唐鉴军
1849574653,21916,0.3764,226,2471,53905,39,692,48,0,0,54,何亚男
1624860295,18974,0.3649,108,344,353545,29,71,6,0,0,54,潘泰名
1798796305,41406,0.4314,1341,443,183479,43,124,15,0,0,54,张博
1707935097,18870,0.3812,381,232,615931,31,51,11,0,0,54,赵思园
1939037907,26098,0.3766,230,144,861459,38,35,1,0,0,54,刘亮
1278301452,19231,0.3834,206,721,226646,33,122,51,0,0,54,徐永革
1243586034,20857,0.3748,224,246,673542,34,38,0,0,0,54,赵梓杰
1880716890,19845,0.3449,201,900,149010,35,66,35,0,0,54,苏恩磁
1765420371,21526,0.3786,205,402,256359,56,108,27,0,0,54,樊营
1957049790,21301,0.3807,198,1488,74782,34,497,89,0,0,54,郭进尧
1766436815,28620,0.3819,1845,253,497655,38,13,0,0,0,55,董至成
2631962104,39477,0.3529,307,232,433437,64,35,37,0,0,55,杜挺豪
1920981057,22478,0.3872,278,810,160416,30,142,10,0,0,55,郭军
1285514970,20394,0.3775,675,852,175232,33,154,8,0,0,55,米紫安
2600208451,24959,0.2651,9,680,145901,65,143,3,0,0,55,李准基
